AccessionNumber,GeneName,Function
Rv2261c,Rv2261c,Function unknown; thought to be involved in lipid metabolism.
Rv3233c,Rv3233c,May be involved in synthesis of triacylglycerol
Rv2483c,plsC,C-terminus: involved in phospholipid biosynthesis (at the second step); converts lysophosphatidic acid (LPA) into phosphatidic acid by incorporating acyl moiety at the 2 position [catalytic activity 2: acyl-CoA + 1-acyl-SN-glycerol 3-phosphate = CoA + 1 2-diacyl-SN-glycerol 3-phosphate]. N-terminus: could be generate serine and phosphate from phosphoserine; may catalyze the last step in the biosynthesis of serine from carbohydrates (the reaction mechanism could be proceed via the formation of a phosphoryl-enzyme intermediates) [catalytic activity 1: phosphoserine + H(2)O = serine + phosphate].
Rv3800c,pks13,Involved in the final steps of mycolic acid biosynthesis. Catalyses the condensation of two fatty acyl chains.
Rv2381c,mbtD,Involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins.
Rv1527c,pks5,Involved in polyketide metabolism.
Rv2940c,mas,Catalyzes the elongation of N-fatty acyl-CoA with methylamalonyl-CoA (not malonyl-CoA) as the elongating agent to form mycocerosyl lipids.
Rv2048c,pks12,Involved in biosynthesis of mannosyl-beta-1-phosphomycoketide (MPM)
Rv2946c,pks1,Polyketide synthase possibly involved in lipid synthesis
Rv2794c,pptT,Biosynthesis of fatty acids and lipids. Transfers the 4'-phosphopantetheine moiety from coenzyme A to a SER of acyl-carrier protein. Catalyzes the formation of holo-ACP  which mediates the transfer of acyl fatty-acid intermediates during the biosynthesis of fatty acids and lipids [catalytic activity: CoA + APO-[acyl-carrier protein] = adenosine 3' 5'-bisphosphate + holo-[acyl-carrier protein] ].
Rv2382c,mbtC,Involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins.
Rv1627c,Rv1627c,Thought to be involved in lipid metabolism.
Rv2262c,Rv2262c,Function unknown; thought to be involved in lipid metabolism.
Rv2947c,pks15,Polyketide synthase possibly involved in lipid synthesis
Rv2379c,mbtF,Involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins. Probably activates the two lysine residues that are incorporated into mycobactin (lysine ligation).
Rv2380c,mbtE,Involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins. Probably activates the two lysine residues that are incorporated into mycobactin (lysine ligation).
Rv2982c,gpdA2,Involved in de novo phospholipid biosynthesis; glycerol-3 phosphate formation [catalytic activity: SN-glycerol 3-phosphate + NAD(P)(+) = glycerone phosphate + NAD(P)H].
Rv3409c,choD,Involved in cholesterol metabolism [catalytic activity: cholesterol + O(2) = cholest-4-en-3-one + H(2)O(2)].
Rv2378c,mbtG,Involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins. This hydroxylase is possibly required for N-hydroxylation of the two lysine residues at some stage during mycobactin assembly [catalytic activity: L-lysine + O(2) = N6-hydroxy-L-lysine + H(2)O. No information can be found if this enzyme is NADPH dependent or independent].
Rv3252c,alkB,Thought to be involved in fatty acid metabolism. Generates octanol and oxidized rubredoxin from octane and reduced rubredoxin. Also hydroxylates fatty acids in the omega-position [catalytic activity: octane + reduced rubredoxin + (O)2 = 1-octanol + oxidized rubredoxin + H(2)O].
Rv3229c,desA3,Thought to be involved in lipid metabolism [catalytic activity: linoleoyl-CoA + ah(2) + O(2) = gamma-linolenoyl-CoA + a + 2 H(2)O]
Rv2789c,fadE21,Function unknown  but involved in lipid degradation.
Rv3543c,fadE29,Function unknown  but involved in lipid degradation.
Rv3544c,fadE28,Function unknown  but involved in lipid degradation.
Rv3560c,fadE30,Function unknown  but involved in lipid degradation.
Rv0975c,fadE13,Function unknown  but involved in lipid degradation.
Rv0400c,fadE7,Function unknown  but involved in lipid degradation.
Rv3573c,fadE34,Function unknown  but involved in lipid degradation.
Rv2724c,fadE20,Function unknown  but involved in lipid degradation.
Rv3061c,fadE22,Function unknown  but involved in lipid degradation.
Rv0244c,fadE5,Function unknown  but involved in lipid degradation.
Rv1467c,fadE15,Function unknown  but involvement in lipid degradation.
Rv2500c,fadE19,Function unknown  but seems involved in metabolism of small branched-chain fatty acids and macrolide antibiotic production. Catalyses the alpha  beta-dehydrogenation of acyl-CoA esters and transfer electrons to ETF  the electron transfer protein.
Rv1934c,fadE17,Function unknown  but supposed involvement in lipid degradation.
Rv1933c,fadE18,Function unknown  but supposed involvement in lipid degradation.
Rv3761c,fadE36,Function unknown  but possibly involvement in lipid degradation.
Rv3274c,fadE25,Function unknown  but involved in lipid degradation [catalytic activity: acyl-CoA + ETF = 2 3-dehydroacyl-CoA + reduced ETF].
Rv1912c,fadB5,Thought to be involved in fatty acid degradation. FADB and FADA are the alpha and beta subunits of the multifunctional enzyme complex of the fatty acid degradation cycle.
Rv1729c,Rv1729c,Possible methyltransferase
Rv3767c,Rv3767c,Possible methyltransferase
Rv0645c,mmaA1,Involved in mycolic acids modification. Catalyzes unusual S-adenosyl-methionine-dependent transformation of a cis-olefin mycolic acid into a secondary alcohol. Catalyzes introduction of a hydroxyl group at the distal position on mycolic acid chains to produce the hydroxyl mycolate. Mycolic acids represent a major constituent of the mycobacterial cell wall complex. Methyl transfer results in formation of a secondary hydroxy group with an adjacent methyl branch; olefinic mycolic acid methyl transferase.
Rv0447c,ufaA1,Transfers a methylene group from S-adenosyl-L-methionine to the cis double bond of an unsaturated fatty acid chain resulting in the replacement of the double bond with a methylene bridge [catalytic activity: S-adenosyl-L-methionine + phospholipid olefinic fatty acid = S-adenosyl-L-homocysteine + phospholipid cyclopropane fatty acid].
Rv2524c,fas,Involved in lipid metabolism. Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA  malonyl-CoA and NADPH.
Rv1074c,fadA3,Function unknown  but supposedly involved in lipid degradation (beta oxidation).
Rv3824c,papA1,Involved in sulfolipid-1 (SL-1) biosynthesis
Rv3820c,papA2,Involved in sulfolipid-1 (SL-1) biosynthesis
Rv3825c,pks2,Function unknown; supposedly involved in lipid metabolism.
Rv2611c,Rv2611c,Catalyzes the acylation of the 6-position of the mannose residue linked to position 2 of the myo-inositol in phosphatylinositol mono- and DI-mannosides.
Rv2482c,plsB2,Involved in phospholipid biosynthesis (at the first step). May also function in the regulation of membrane biogenesis [catalytic activity: acyl-CoA + SN-glycerol 3-phosphate = CoA + 1-acyl-SN-glycerol 3-phosphate].
Rv3540c,ltp2,Function unknown  supposed involvement in lipid metabolism.
Rv0914c,Rv0914c,Thought to be involved in degradative pathways such as fatty acid BETA_OXIDATION.
Rv3130c,tgs1,Involved in synthesis of triacylglycerol
Rv3480c,Rv3480c,May be involved in synthesis of triacylglycerol
Rv3740c,Rv3740c,May be involved in synthesis of triacylglycerol
Rv3234c,tgs3,May be involved in synthesis of triacylglycerol
Rv2484c,Rv2484c,May be involved in synthesis of triacylglycerol
Rv3734c,tgs2,May be involved in synthesis of triacylglycerol
Rv3556c,fadA6,Function unknown  but involved in lipid degradation [catalytic activity: 2 acetyl-CoA = CoA + acetoacetyl-CoA].
Rv2610c,pimA,Involved in the first mannosylation step in phosphatidylinositol mannoside biosynthesis (transfer of mannose residues onto PI  leading to the synthesis of phosphatidylinositol monomannoside).
Rv2188c,pimB,Involved in lipoarabinomannan (lam) biosynthesis
Rv3383c,idsB,Involved in biosynthesis of membrane ether-linked lipids. Catalyzes the trans-addition of the three molecules of IPP onto DMAPP to form geranylgeranyl pyrophosphate which is a precursor of the ether-linked lipids. Catalyze the consecutive condensation of homoallylic diphosphate of isopentenyl diphosphates (IPP  C5) with allylic diphosphates to synthesize prenyl diphosphates of various chain lengths.
Rv3398c,idsA1,Involved in the biosynthesis of membrane ether-linked lipids. Catalyzes the trans-addition of the three molecules of IPP onto DMAPP to form geranylgeranyl pyrophosphate which is a precursor of the ether-linked lipids [catalytic ACTIVITY1: dimethylallyl diphosphate + isopentenyl diphosphate = diphosphate + geranyl diphosphate] [catalytic ACTIVITY2: geranyl diphosphate + isopentenyl diphosphate = diphosphate + trans trans-farnesyl diphosphate] [catalytic ACTIVITY3: trans-trans-farnesyl diphosphate + isopentenyl diphosphate = diphosphate + geranylgeranyl diphosphate]
Rv3107c,agpS,Involved in ether lipid biosynthesis [catalytic activity: 1-acyl-glycerone 3-phosphate + a long-chain alcohol = 1-alkyl-glycerone 3-phosphate + a long-chain acid anion].
Rv2881c,cdsA,Involved in the phospholipid biosynthesis [catalytic activity: CTP + phosphatidate = pyrophosphate + CDP-diacylglycerol].
Rv2612c,pgsA1,Catalyzes the transfer of a free alcohol (inositol) onto CDP-diacylglycerol. The product of this putative ORF seems be essential to mycobacteria [catalytic activity: CDP-diacylglycerol + myo-inositol = CMP + phosphatidyl 1D-myo-inositol]. PgsA1 utilises inositol-phosphate rather than inositol  in contrast to its Eukaryotic ortholog (see Gr&#228;ve et al. 2019).
Rv2746c,pgsA3,Involved in acidic phospholipid biosynthesis. This protein probably catalyzes the committed step to the synthesis of the acidic phospholipids [catalytic activity: CDP-diacylglycerol + glycerol-3-phosphate = CMP + 3-(3-phosphatidyl)-glycerol 1-phosphate].
Rv2504c,scoA,Involved in fatty acid degradation/synthesis [catalytic activity: succinyl-CoA + a 3-oxo acid = succinate + a 3-oxo-acyl-CoA].
Rv2503c,scoB,Involved in various degradation and synthesis [catalytic activity: succinyl-CoA + a 3-oxo acid = succinate + a 3-oxo-acyl-CoA].
Rv2605c,tesB2,Function unknown; lipolytic enzyme involved in cellular metabolism. Can hydrolyze a broad range of acyl-CoA thioesters.
Rv0437c,psd,Function unknown  but involved in lipid metabolism [catalytic activity: phosphatidyl-L-serine = phosphatidylethanolamine + CO(2)].
Rv3039c,echA17,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv1935c,echA13,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv1142c,echA10,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv0632c,echA3,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv1071c,echA9,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv3513c,fadD18,Function unknown  but involved in lipid degradation.
Rv3515c,fadD19,Function unknown  but involved in lipid degradation.
Rv2505c,fadD35,Function unknown  but involved in lipid degradation.
Rv0551c,fadD8,Function unknown  but involved in lipid degradation.
Rv1427c,fadD12,Function unknown  but supposed involvement in lipid degradation.
Rv1750c,fadD1,Function unknown  but supposed involvement in lipid degradation.
Rv2950c,fadD29,Involved in biosynthesis of phenolic glycolipids (PGLs)
Rv3801c,fadD32,Involved in the final steps of mycolic acid biosynthesis. Activates meromycolic acid into meromycoloyl-AMP and transfers the meromycolic acyl chains onto PKS13
Rv2948c,fadD22,Involved in biosynthesis of phenolic glycolipids (PGLs)
Rv2383c,mbtB,Involved in the biogenesis of the hydroxyphenyloxazoline-containing siderophore mycobactins. This peptide synthase forms amide bound between the carboxylic acid of salicylate and the alpha-amino group of serine (serine/threonine ligation).
Rv2501c,accA1,This protein carries two functions: biotin carboxyl carrier protein and biotin carboxyltransferase. Involved in the first step of long-chain fatty acid synthesis [catalytic activity: ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + phosphate + carboxybiotin-carboxyl-carrier protein].
Rv0973c,accA2,This protein carries two functions: biotin carboxyl carrier protein and biotin carboxyltransferase. Involved in the first step of long-chain fatty acid synthesis [catalytic activity: ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + phosphate + carboxybiotin-carboxyl-carrier protein].
Rv0904c,accD3,This protein is a component of the acetyl coenzyme A carboxylase complex; first  biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA [catalytic activity ATP + acetyl-CoA + HCO(3)(-) = ADP + phosphate + malonyl-CoA].
Rv2502c,accD1,Involved in fatty acid metabolism.
Rv3799c,accD4,Key enzyme in the catabolic pathway of odd-chain fatty acids  isoleucine  threonine  methionine  and valine [catalytic activity: ATP + propionyl-CoA + CO(2) + H(2)O = ADP + orthophosphate + methylmalonyl-CoA.]
Rv1886c,fbpB,Involved in cell wall mycoloylation. Proteins of the antigen 85 complex are responsible for the high affinity of mycobacteria to fibronectin. Possesses a mycolyltransferase activity required for the biogenesis of trehalose dimycolate (cord factor)  a dominant structure necessary for maintaining cell wall integrity.
Rv0533c,fabH,Involved in fatty acid biosynthesis. Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. KAS III catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities [catalytic activity: acyl-[acyl-carrier protein] + malonyl-[acyl-carrier protein] = 3-oxoacyl-[acyl-carrier protein] + CO2 + [acyl-carrier protein]].
Rv3392c,cmaA1,Has cyclopropane function. Transfers a methylene group from S-adenosyl-L-methionine to the cis double bond of an unsaturated fatty acid chain resulting in the replacement of the double bond with a methylene bridge. Mycolic acids  which represent the major constituent of mycobacterial cell wall complex  act as substrates [catalytic activity: S-adenosyl-L-methionine + phospholipidolefinic fatty acid = S-adenosyl-L-homocysteine + phospholipid cyclopropane fatty acid].
Rv0503c,cmaA2,Essential for the cyclopropanation function. Transfers a methylene group from S-adenosyl-L-methionine to the cis double bond of an unsaturated fatty acid chain resulting in the replacement of the double bond with a methylene bridge. Mycolic acids  which represent the major constituent of mycobacterial cell wall complex  act as substrates [catalytic activity: S-adenosyl-L-methionine + phospholipid olefinic fatty acid = S-adenosyl-L-homocysteine + phospholipid cyclopropane fatty acid].
Rv0470c,pcaA,Involved in the mycolic acid modification or synthesis; essential for the cyclopropanation function. Required for cording and mycolic acid cyclopropane ring synthesis in the cell wall.
Rv3803c,fbpD,Involved in cell wall mycoloylation. Proteins of the antigen 85 complex are responsible for the high affinity of mycobacteria to fibronectin. Possesses a mycolyltransferase activity required for the biogenesis of trehalose dimycolate (cord factor)  a dominant structure necessary for maintaining cell wall integrity.
